Doss.,Prénom Nom,genre,Col de Voza,St-Gervais,Contamines,ND la Gorge,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit,Courmayeur sortie,Bertone,Bonatti,Arnouvaz,Col Ferret,La Peule,La Fouly,Champex-Lac,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
886,Thiago Pereira ROCHA,M,0.045233463035019454,0.024319066147859923,0.03842412451361868,0.016050583657587547,0.02821011673151751,0.04182879377431906,0.02821011673151751,0.061284046692607,0.038910505836575876,0.033073929961089495,0.016536964980544747,0.052042801556420236,0.033073929961089495,0.0316147859922179,0.02237354085603113,0.042801556420233464,0.017509727626459144,0.02529182879377432,0.0938715953307393,0.0622568093385214,0.035505836575875485,0.035505836575875485,0.055933852140077824,0.08900778210116732,0.0311284046692607,1 days 10:16:00
1083,Thierry VALEYRE,M,0.05158150851581508,0.027250608272506083,0.03941605839416058,0.022871046228710463,0.024817518248175182,0.043795620437956206,0.024330900243309004,,,0.03260340632603406,0.015571776155717762,0.03260340632603406,0.03309002433090024,0.035036496350364967,0.02141119221411192,0.03990267639902676,0.01654501216545012,0.026277372262773723,0.08905109489051095,0.06082725060827251,0.04476885644768856,0.032116788321167884,0.05936739659367397,0.08223844282238443,0.04476885644768856,1 days 10:15:00
691,Christophe HUDRY,M,0.04377431906614786,0.023346303501945526,0.038910505836575876,0.01848249027237354,0.02237354085603113,0.036478599221789886,0.02091439688715953,0.05544747081712062,0.03356031128404669,0.026750972762645913,0.019455252918287938,0.02772373540856031,0.036478599221789886,0.04036964980544747,0.030155642023346304,0.04328793774319066,0.024319066147859923,0.05885214007782101,0.07441634241245136,0.07149805447470817,0.03501945525291829,0.032101167315175094,0.0646887159533074,0.08463035019455253,0.03696498054474708,1 days 10:16:00
1399,Jean-Philippe ABADIE,M,0.04618376276130287,0.025765678172095283,0.040350024307243555,0.01652892561983471,0.02916869227029655,0.0427807486631016,0.023821098687408847,0.06951871657754011,0.042294603791929994,0.034516285853184246,0.019931939718035974,0.032571706368497814,0.037919299951385516,0.03694701020904229,0.03159941662615459,0.041808458920758386,0.016042780748663103,0.031113271754982984,0.07681088964511425,0.06660184735051045,0.037919299951385516,0.03403014098201264,0.052989790957705396,0.08215848322800194,0.030627126883811376,1 days 10:17:00
911,Ibai GOÑI,M,0.047133138969873666,0.02575315840621963,0.04033041788143829,0.02040816326530612,0.02478134110787172,0.038386783284742466,0.021865889212827987,0.056851311953352766,0.0369290573372206,0.029154518950437316,0.017006802721088437,0.03595724003887269,0.03595724003887269,0.033527696793002916,0.023809523809523808,0.043245869776482024,0.014577259475218658,0.028668610301263362,0.08454810495626822,0.07434402332361516,0.04033041788143829,0.033527696793002916,0.061224489795918366,0.09183673469387756,0.03984450923226433,1 days 10:18:00
1421,Rodrigo HERNANZ-DE SALAS,M,0.05647517039922103,0.02872444011684518,0.044790652385589096,0.017039922103213243,0.02872444011684518,0.04430379746835443,0.020934761441090556,0.06572541382667965,0.03943524829600779,0.03261927945472249,0.016066212268743916,0.027263875365141188,0.03992210321324245,0.03359298928919182,0.022395326192794548,0.03992210321324245,0.013631937682570594,0.02872444011684518,0.07156767283349562,0.06718597857838364,0.030671859785783837,0.037487828627069134,0.06085686465433301,0.09201557935735151,0.03992210321324245,1 days 10:14:00
862,Adam ARMATA,M,0.0501460564751704,0.026777020447906523,0.03894839337877313,0.019961051606621226,0.024829600778967866,0.03992210321324245,0.021421616358325218,0.05988315481986368,0.03700097370983447,0.03213242453748783,0.01801363193768257,0.03018500486854917,0.037487828627069134,0.0365141187925998,0.024829600778967866,0.04430379746835443,0.016066212268743916,0.02969814995131451,0.08958130477117819,0.07108081791626096,0.0379746835443038,0.033106134371957155,0.06280428432327166,0.08422590068159688,0.033106134371957155,1 days 10:14:00
650,Nicolas ROLLET,M,0.05150631681243926,0.028182701652089408,0.03935860058309038,0.0228377065111759,0.02478134110787172,0.04033041788143829,0.021379980563654033,0.0597667638483965,0.038386783284742466,0.03304178814382896,0.017978620019436346,0.033527696793002916,0.04081632653061224,0.03935860058309038,0.027210884353741496,0.0456754130223518,0.015063168124392614,0.029640427599611274,0.09572400388726919,0.06365403304178814,0.03644314868804665,0.03255587949465501,0.0500485908649174,0.08114674441205054,0.03158406219630709,1 days 10:18:00
293,Mariela VIGLIOCCO,W,0.0441747572815534,0.02378640776699029,0.036893203883495145,0.015048543689320388,0.025728155339805825,0.039805825242718446,0.02330097087378641,0.06116504854368932,0.037864077669902914,0.032524271844660196,0.020388349514563107,0.03300970873786408,0.037864077669902914,0.0383495145631068,0.02815533980582524,0.0412621359223301,0.01650485436893204,0.032524271844660196,0.09902912621359224,0.06650485436893204,0.03446601941747573,0.03495145631067961,0.05533980582524272,0.08786407766990291,0.03349514563106796,1 days 10:20:00
900,Thiago ORGELIO,M,0.043224866440019424,0.023312287518212724,0.035454103933948516,0.015055852355512385,0.026226323457989316,0.04176784847013113,0.01942690626517727,,,0.034482758620689655,0.017484215638659543,0.03739679456046625,0.035454103933948516,0.0398251578436134,0.029140359397765905,0.045167557066537155,0.016998542982030112,0.02962603205439534,0.08839242350655659,0.0718795531811559,0.04176784847013113,0.035454103933948516,0.055852355512384655,0.08839242350655659,0.03351141330743079,1 days 10:19:00
