bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
3294,Camille ANCIAUX,01:10:14,5,FEMALE,2023,Ratinaud → Possession,Possession,Ratinaud,False
4094,Morgane LEFEUVRE,01:10:33,6,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
3285,Laure REBUFFET,01:11:06,7,FEMALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
3436,Marine SECHET,01:11:49,8,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
4004,Morgane SATGE,01:11:49,9,FEMALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
3874,Charlotte LANTENOIS,01:11:53,10,FEMALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
3234,Anne-Laure ROUX,01:12:41,11,FEMALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
4476,Maïlys CARRÉRO,01:12:53,12,FEMALE,2022,Ratinaud → Possession,Possession,Ratinaud,False
4302,Nirina HAJA,00:49:00,1,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
3354,Orlan AYADEN,00:49:09,2,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
4506,Antoine COMPAROT,00:49:34,3,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
4398,Nicolas MARCY,00:50:41,4,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
3691,Alexandre DEPECHE,00:50:50,5,MALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
4632,Loïc BOYER,00:52:11,6,MALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
4457,Matis FUGIER,00:52:13,7,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
3759,Alexandre DEPECHE,00:53:05,8,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
4020,Gauthier DURET,00:53:10,9,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
3212,Arthur GOURBIERE,00:53:44,10,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
4160,Rivosoa Hobilalaina ANDRIANIRINA,00:54:06,11,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
3172,Jean Charles BRETON,00:54:22,12,MALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
3436,Marine SECHET,01:01:53,1,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
3845,Axelle HENRY,01:02:23,2,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
4073,Maëlys DEVOS,01:03:38,3,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
3285,Laure REBUFFET,01:04:04,4,FEMALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
3394,Amélie HUCHET,01:06:30,5,FEMALE,2022,Possession → Chaloupe,Chaloupe,Possession,False
3294,Camille ANCIAUX,01:06:50,6,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
3507,Claire JACQUET,01:08:11,7,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
4094,Morgane LEFEUVRE,01:08:21,8,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
3781,Sophie BLARD,01:08:48,9,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
4215,Alexandra LASSIAILLE,01:09:34,10,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
4109,Louise BENEVENT,01:10:58,11,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
