bib,name,status,category,sex,country,Départ,P7,Cresse,Rozier,Truel,St André,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,Arrivée,MassebiauD
4176,David ISSEN,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:35:49.000+00:00,2023-10-20T06:52:58.000+00:00,2023-10-20T08:47:53.000+00:00,2023-10-20T11:17:02.000+00:00,2023-10-20T14:36:49.000+00:00,2023-10-20T17:28:35.000+00:00,2023-10-20T19:32:40.000+00:00,2023-10-20T21:50:20.000+00:00,2023-10-20T23:00:24.000+00:00,2023-10-21T00:10:40.000+00:00,2023-10-21T01:50:37.000+00:00,
3481,Diane SIBILLE,FINISHER,M1-M2F,FEMALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:15:55.000+00:00,2023-10-20T06:25:51.000+00:00,2023-10-20T08:19:58.000+00:00,2023-10-20T10:50:24.000+00:00,2023-10-20T14:13:38.000+00:00,2023-10-20T16:37:01.000+00:00,2023-10-20T19:16:14.000+00:00,2023-10-20T21:29:45.000+00:00,2023-10-20T22:37:16.000+00:00,2023-10-21T00:06:07.000+00:00,2023-10-21T01:50:43.000+00:00,
4370,Guillaume VAUTHRIN,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:26:38.000+00:00,2023-10-20T06:37:10.000+00:00,2023-10-20T08:42:16.000+00:00,2023-10-20T11:10:45.000+00:00,2023-10-20T14:21:38.000+00:00,2023-10-20T16:48:23.000+00:00,2023-10-20T19:11:54.000+00:00,2023-10-20T21:41:32.000+00:00,2023-10-20T22:43:23.000+00:00,2023-10-21T00:08:07.000+00:00,2023-10-21T01:50:47.000+00:00,
3349,Eric MATHIEU,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:17:42.000+00:00,2023-10-20T06:41:54.000+00:00,2023-10-20T08:56:52.000+00:00,2023-10-20T11:44:49.000+00:00,2023-10-20T15:18:48.000+00:00,2023-10-20T18:02:28.000+00:00,2023-10-20T20:20:49.000+00:00,2023-10-20T23:09:41.000+00:00,,,2023-10-21T01:53:27.000+00:00,2023-10-21T00:21:07.000+00:00
3977,Richard BEDDOCK,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:27:10.000+00:00,2023-10-20T06:40:51.000+00:00,2023-10-20T08:34:16.000+00:00,2023-10-20T11:17:21.000+00:00,2023-10-20T14:59:14.000+00:00,2023-10-20T17:39:54.000+00:00,2023-10-20T20:06:29.000+00:00,2023-10-20T23:09:57.000+00:00,,,2023-10-21T01:53:27.000+00:00,2023-10-21T00:21:02.000+00:00
3883,Guillaume FRENOY,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:32:30.000+00:00,2023-10-20T06:47:32.000+00:00,2023-10-20T08:47:18.000+00:00,2023-10-20T11:16:08.000+00:00,2023-10-20T14:45:36.000+00:00,2023-10-20T17:31:55.000+00:00,2023-10-20T19:46:07.000+00:00,2023-10-20T22:18:11.000+00:00,2023-10-20T23:14:25.000+00:00,2023-10-21T00:22:09.000+00:00,2023-10-21T01:55:28.000+00:00,
3800,Philippe CLUGNAC,FINISHER,M3-M4H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:31:59.000+00:00,2023-10-20T06:44:11.000+00:00,2023-10-20T08:46:50.000+00:00,2023-10-20T11:10:09.000+00:00,2023-10-20T14:30:58.000+00:00,2023-10-20T17:16:44.000+00:00,2023-10-20T19:18:11.000+00:00,2023-10-20T21:41:15.000+00:00,2023-10-20T22:43:36.000+00:00,2023-10-21T00:25:50.000+00:00,2023-10-21T01:56:29.000+00:00,
3950,Sebastien BONNELIE,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:23:32.000+00:00,2023-10-20T06:34:45.000+00:00,2023-10-20T08:17:51.000+00:00,2023-10-20T10:43:17.000+00:00,2023-10-20T13:59:57.000+00:00,2023-10-20T16:48:07.000+00:00,2023-10-20T19:06:54.000+00:00,2023-10-20T21:43:43.000+00:00,2023-10-20T22:53:15.000+00:00,2023-10-21T00:08:19.000+00:00,2023-10-21T01:57:39.000+00:00,
3259,Stephane MAILLOT,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T05:15:48.000+00:00,2023-10-20T06:31:13.000+00:00,2023-10-20T08:36:45.000+00:00,2023-10-20T11:04:58.000+00:00,2023-10-20T14:08:51.000+00:00,2023-10-20T16:57:27.000+00:00,2023-10-20T19:08:57.000+00:00,2023-10-20T21:47:10.000+00:00,2023-10-20T22:55:06.000+00:00,2023-10-21T00:08:09.000+00:00,2023-10-21T01:58:11.000+00:00,
4208,Matthias L HAVEANT,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:27:18.000+00:00,2023-10-20T06:40:43.000+00:00,2023-10-20T08:33:14.000+00:00,2023-10-20T11:03:13.000+00:00,2023-10-20T14:08:51.000+00:00,2023-10-20T16:57:25.000+00:00,2023-10-20T19:08:59.000+00:00,2023-10-20T21:47:12.000+00:00,2023-10-20T22:55:04.000+00:00,2023-10-21T00:08:09.000+00:00,2023-10-21T02:03:26.000+00:00,
3892,Julien MAJOREL,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:31:13.000+00:00,2023-10-20T06:48:45.000+00:00,2023-10-20T08:44:38.000+00:00,2023-10-20T11:15:53.000+00:00,2023-10-20T14:44:39.000+00:00,2023-10-20T17:22:30.000+00:00,2023-10-20T19:35:04.000+00:00,2023-10-20T22:09:55.000+00:00,2023-10-20T22:55:21.000+00:00,2023-10-21T00:08:38.000+00:00,2023-10-21T01:58:34.000+00:00,
3975,Fanny ROY,FINISHER,S-M0F,FEMALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:31:12.000+00:00,2023-10-20T06:45:51.000+00:00,2023-10-20T08:40:36.000+00:00,2023-10-20T11:15:50.000+00:00,2023-10-20T14:44:09.000+00:00,2023-10-20T17:22:22.000+00:00,2023-10-20T19:34:03.000+00:00,2023-10-20T22:09:54.000+00:00,2023-10-20T22:55:01.000+00:00,2023-10-21T00:08:27.000+00:00,2023-10-21T01:58:34.000+00:00,
3734,Severine VANDROMME,FINISHER,M1-M2F,FEMALE,FR,2023-10-20T04:14:26.000+00:00,2023-10-20T05:29:00.000+00:00,2023-10-20T06:40:55.000+00:00,2023-10-20T08:34:47.000+00:00,2023-10-20T11:13:28.000+00:00,2023-10-20T14:31:03.000+00:00,2023-10-20T17:03:06.000+00:00,2023-10-20T19:13:35.000+00:00,2023-10-20T21:51:48.000+00:00,2023-10-20T22:58:12.000+00:00,2023-10-21T00:08:14.000+00:00,2023-10-21T01:58:34.000+00:00,
