year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2025,7075,les courses du mont-terrible - 15k - la brère,15000.0,540,MALE,20K,84,01:29:46,2025,CH
2025,7075,urban trail lausanne - urban trail lausanne 18k,18000.0,450,MALE,20K,148,01:50:37,2025,CH
2025,7075,hoka UTMB mont-blanc - occ,57000.0,3500,MALE,50K,1157,12:50:45,2024,FR
2025,7075,trail verbier st bernard by UTMB - verbier x-plore ,27400.0,1730,MALE,20K,263,04:37:54,2024,CH
2025,7075,trail du saint-jacques by UTMB® - les chibottes - 20k,17700.0,534,MALE,20K,246,01:49:25,2024,FR
2025,7075,xtratrail lavaux - xtra 20,20000.0,870,MALE,20K,158,02:20:01,2024,CH
2025,7075,jura swiss trail - eterlou 35k,34420.0,2215,MALE,50K,145,05:19:55,2024,CH
2025,7075,les courses du mont-terrible - 15k - la brère,15000.0,540,MALE,20K,63,01:32:40,2024,CH
2025,7075,marathon du mont-blanc - 23 km du mont-blanc,23600.0,1590,MALE,20K,1133,04:31:18,2023,FR
2025,7075,xtratrail lavaux - xtra 20,20000.0,870,MALE,20K,172,02:29:59,2023,CH
2025,7075,jura swiss trail - cabri 19k,19100.0,1310,MALE,20K,176,03:15:51,2023,CH
2025,7075,trail vallée de joux - 36k,36400.0,1900,MALE,50K,119,05:13:13,2022,CH
2025,7075,wildstrubel by UTMB - wild 25,25000.0,1150,MALE,20K,275,03:27:56,2022,CH
2025,7075,montreux trail festival - mxsky,30800.0,2240,MALE,50K,310,05:59:05,2022,CH
2025,7075,marathon du mont-blanc - 23 km du mont-blanc,24400.0,1657,MALE,20K,639,04:03:39,2022,FR
2025,7075,jura swiss trail - cabri 19k,19100.0,1310,MALE,20K,70,02:45:23,2022,CH
2025,7075,miut® - madeira island ultra-trail® - miut 16,15700.0,430,MALE,20K,61,01:40:22,2022,PT
2025,7076,le grand raid de la réunion - la mascareignes,72000.0,3874,MALE,100K,464,17:12:53,2021,FR
2025,7079,l'ultra marin raid golfe du morbihan - ronde des douaniers 34 km,33500.0,510,FEMALE,20K,791,03:48:44,2022,FR
2025,7081,le grand raid de la réunion - metis trail,50000.0,2598,MALE,50K,13,07:35:57,2024,FR
2025,7084,le grand raid de la réunion - metis trail,50000.0,2598,MALE,50K,25,08:19:46,2024,FR
2025,7084,dodo trail - trooper 25km,23700.0,1450,MALE,20K,14,03:35:10,2024,MU
2025,7084,la ferme trail - la ferme trail,23500.0,1050,MALE,20K,15,03:06:10,2023,MU
2025,7084,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,220,14:00:54,2022,FR
2025,7084,trail des anglais - trail des anglais,28000.0,1260,MALE,20K,184,03:31:49,2020,FR
2025,7086,aymon trail - aymon trail #10 - 18 km,18000.0,800,MALE,20K,428,02:50:09,2024,FR
2025,7086,trail des 4 vents - 14 km du t4v,13400.0,500,MALE,,140,01:38:28,2023,FR
2025,7086,aymon trail - aymon trail #9 - 18 km,18000.0,1000,MALE,20K,503,03:09:40,2023,FR
2025,7087,challenge du montcalm - trail des mineurs,15000.0,850,MALE,20K,327,02:28:47,2025,FR
2025,7090,le grand raid de la réunion - la mascareignes,72000.0,4007,MALE,100K,599,17:35:39,2023,FR
2025,7090,le grand raid de la réunion - zembrocal trail relais3,41400.0,2700,MALE,50K,108,09:49:08,2022,FR
2025,7091,le grand raid de la réunion - la diagonale des fous,175000.0,10107,MALE,100M,1370,57:20:06,2024,FR
2025,7091,le grand raid de la réunion - trail de bourbon,109000.0,6328,MALE,100M,458,32:45:22,2023,FR
2025,7091,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,1014,19:56:50,2022,FR
2025,7091,trail de minuit - trail de minuit,54200.0,3180,MALE,50K,718,13:23:44,2022,FR
2025,7091,trail des anglais - trail des anglais,28000.0,1260,MALE,20K,546,04:16:57,2020,FR
2025,7092,le grand raid de la réunion - metis trail,50000.0,2598,MALE,50K,232,12:03:16,2024,FR
