bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
1961,Fabrice PAYET,01:00:15,3,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
685,Gabriel PLACOTARIS,01:01:50,4,MALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
2206,Sébastien LOMBARD,01:02:15,5,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
2732,Ludovic POMMERET,01:02:40,6,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
2847,Beñat MARMISSOLLE,01:02:54,7,MALE,2022,Possession → Chaloupe,Chaloupe,Possession,False
2605,Aurelien DUNAND-PALLAZ,01:02:57,8,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
2199,Fabrice PAYET,01:03:16,9,MALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
2610,Ben DHIMAN,01:04:11,10,MALE,2022,Possession → Chaloupe,Chaloupe,Possession,False
1820,Jean - Philippe TSCHUMI,01:04:14,11,MALE,2022,Possession → Chaloupe,Chaloupe,Possession,False
1551,Yannick NOËL,01:04:24,12,MALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
1950,Courtney DAUWALTER,01:10:28,1,FEMALE,2022,Possession → Chaloupe,Chaloupe,Possession,False
299,Blandine L HIRONDEL,01:11:10,2,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
502,Yanid ARANGO,01:11:43,3,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
938,Lise PEIPOCH,01:18:52,4,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
2168,Joanne BERGUES,01:21:29,5,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
2460,Camille BRUYAS,01:22:03,6,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
925,Marion ZARADZKI,01:22:26,7,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
707,Elodie MITHRIDATE,01:23:25,8,FEMALE,2022,Possession → Chaloupe,Chaloupe,Possession,False
2329,Angelique Victoria LESPORT,01:24:39,9,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
2518,Zélie PIGNON,01:24:50,10,FEMALE,2025,Possession → Chaloupe,Chaloupe,Possession,False
2628,Katie SCHIDE,01:25:30,11,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
