bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
7415,Anne-Claire BENARD,00:48:32,7,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7062,Emilie DIETRICH,00:48:35,8,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7245,Lisa BOILLETOT,00:48:43,9,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7200,Noéline CAROFF,00:48:49,10,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7280,Ophélie TAILLEUR,00:49:33,11,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7158,Valerie RIVIERE,00:50:09,12,FEMALE,2024,Colorado → St Denis,St Denis,Colorado,False
7032,Yoann MARTIN,00:20:55,1,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7479,Leo SERCA,00:20:57,2,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7454,Brian FRANÇOIS FILS,00:21:21,3,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7613,Joseph Jean Damien RAVINA,00:22:41,4,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7503,Christopher CAMACHETTY,00:22:45,5,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7355,Thibaud GERLACH,00:23:25,6,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7455,Anne Marie JOHN,00:23:28,1,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7586,Jean Patrice PAYET,00:23:43,7,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7500,Nicolas CHARRETIER,00:23:52,8,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7005,Benoit MARC,00:23:59,9,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7476,Korentin GUEZENEC,00:24:01,10,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7468,Guillaume SCHLIFFER,00:24:21,11,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7576,Hugo CORTEN,00:24:34,12,MALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7531,Lucie TRAISSAC,00:25:20,2,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7572,Emma METRO,00:25:37,3,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7024,Miora RAZANAKOLONA,00:25:58,4,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7509,Andrea HASLEBACHER,00:25:58,5,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
