bib,name,status,category,sex,country,Peyreleau,Champignon,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
5342,Jean-Baptiste MAHU,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:06.000+00:00,2022-10-21T09:04:34.000+00:00,2022-10-21T10:19:29.000+00:00,2022-10-21T12:45:45.000+00:00,2022-10-21T14:59:13.000+00:00,2022-10-21T16:41:36.000+00:00,2022-10-21T17:45:58.000+00:00,2022-10-21T18:41:26.000+00:00,2022-10-21T19:24:30.000+00:00,2022-10-21T20:07:23.000+00:00
5410,Cedric PERON,FINISHER,SE H,MALE,FR,2022-10-21T07:05:05.000+00:00,2022-10-21T09:12:05.000+00:00,2022-10-21T10:23:16.000+00:00,2022-10-21T12:29:47.000+00:00,2022-10-21T14:50:12.000+00:00,2022-10-21T16:45:31.000+00:00,2022-10-21T17:48:43.000+00:00,2022-10-21T18:49:46.000+00:00,2022-10-21T19:29:50.000+00:00,2022-10-21T20:07:26.000+00:00
5201,Marie-Beatrice DUFIEF,FINISHER,M1-M2F,FEMALE,FR,2022-10-21T06:50:29.000+00:00,2022-10-21T09:00:51.000+00:00,2022-10-21T10:25:23.000+00:00,2022-10-21T12:42:43.000+00:00,2022-10-21T15:06:14.000+00:00,2022-10-21T16:47:03.000+00:00,2022-10-21T17:43:23.000+00:00,2022-10-21T18:55:05.000+00:00,2022-10-21T19:29:13.000+00:00,2022-10-21T20:07:58.000+00:00
5591,Nicolas LANGLAIS,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:32.000+00:00,2022-10-21T09:19:21.000+00:00,2022-10-21T10:43:51.000+00:00,2022-10-21T12:50:10.000+00:00,2022-10-21T15:22:33.000+00:00,2022-10-21T16:58:50.000+00:00,2022-10-21T17:51:57.000+00:00,2022-10-21T18:51:56.000+00:00,2022-10-21T19:28:08.000+00:00,2022-10-21T20:10:19.000+00:00
5590,Saddek FENARDJI,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:32.000+00:00,2022-10-21T09:19:24.000+00:00,2022-10-21T10:43:46.000+00:00,2022-10-21T12:52:25.000+00:00,2022-10-21T14:58:50.000+00:00,2022-10-21T16:58:49.000+00:00,2022-10-21T17:51:56.000+00:00,2022-10-21T18:51:36.000+00:00,2022-10-21T19:28:18.000+00:00,2022-10-21T20:10:24.000+00:00
5522,Pascal BERTHIN,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:34.000+00:00,2022-10-21T09:20:03.000+00:00,2022-10-21T10:46:54.000+00:00,2022-10-21T12:57:02.000+00:00,2022-10-21T15:20:59.000+00:00,2022-10-21T17:14:40.000+00:00,2022-10-21T18:03:41.000+00:00,2022-10-21T19:03:51.000+00:00,2022-10-21T19:36:56.000+00:00,2022-10-21T20:09:34.000+00:00
5367,Ludovic JAKUBOWSKI,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:22.000+00:00,2022-10-21T09:22:57.000+00:00,2022-10-21T10:41:23.000+00:00,2022-10-21T12:41:25.000+00:00,2022-10-21T14:57:30.000+00:00,2022-10-21T16:47:22.000+00:00,2022-10-21T17:39:49.000+00:00,2022-10-21T18:50:40.000+00:00,2022-10-21T19:30:28.000+00:00,2022-10-23T23:09:06.000+00:00
5524,Pierrick RAOULT,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:10.000+00:00,2022-10-21T09:03:46.000+00:00,2022-10-21T10:07:31.000+00:00,2022-10-21T11:51:37.000+00:00,2022-10-21T14:12:10.000+00:00,2022-10-21T16:03:24.000+00:00,2022-10-21T17:15:02.000+00:00,2022-10-21T18:42:29.000+00:00,2022-10-21T19:26:31.000+00:00,2022-10-21T20:11:16.000+00:00
5203,Laurence LUQUET,FINISHER,M1-M2F,FEMALE,FR,2022-10-21T06:50:29.000+00:00,2022-10-21T08:48:16.000+00:00,2022-10-21T10:06:23.000+00:00,2022-10-21T12:10:20.000+00:00,2022-10-21T14:29:42.000+00:00,2022-10-21T16:18:54.000+00:00,2022-10-21T17:26:06.000+00:00,2022-10-21T18:30:53.000+00:00,2022-10-21T19:19:16.000+00:00,2022-10-21T20:12:59.000+00:00
5656,Agnes POULVELARIE,FINISHER,M1-M2F,FEMALE,FR,2022-10-21T07:05:19.000+00:00,2022-10-21T09:14:39.000+00:00,2022-10-21T10:39:14.000+00:00,2022-10-21T12:39:01.000+00:00,2022-10-21T14:48:20.000+00:00,2022-10-21T16:36:59.000+00:00,2022-10-21T17:33:19.000+00:00,2022-10-21T18:37:21.000+00:00,2022-10-21T19:19:08.000+00:00,2022-10-21T20:15:20.000+00:00
5571,Rossano MARCHETTO,FINISHER,M3-M4H,MALE,FR,2022-10-21T07:05:19.000+00:00,2022-10-21T09:18:40.000+00:00,2022-10-21T10:40:22.000+00:00,2022-10-21T12:39:12.000+00:00,2022-10-21T14:50:05.000+00:00,2022-10-21T16:42:14.000+00:00,2022-10-21T17:47:40.000+00:00,2022-10-21T18:53:24.000+00:00,2022-10-21T19:31:04.000+00:00,2022-10-21T20:43:30.000+00:00
5484,Mathilde LE GOUZ DE SAINT SEINE,FINISHER,SE F,FEMALE,FR,2022-10-21T07:05:31.000+00:00,2022-10-21T09:20:37.000+00:00,2022-10-21T10:38:55.000+00:00,2022-10-21T12:46:42.000+00:00,2022-10-21T14:46:26.000+00:00,2022-10-21T16:42:56.000+00:00,2022-10-21T17:41:53.000+00:00,2022-10-21T18:44:20.000+00:00,2022-10-21T19:24:25.000+00:00,2022-10-21T20:15:19.000+00:00
5385,Floriane THIERRY,FINISHER,SE F,FEMALE,FR,2022-10-21T07:05:14.000+00:00,2022-10-21T09:06:34.000+00:00,2022-10-21T10:19:19.000+00:00,2022-10-21T12:21:28.000+00:00,2022-10-21T14:34:13.000+00:00,2022-10-21T16:37:09.000+00:00,2022-10-21T17:32:07.000+00:00,2022-10-21T18:46:03.000+00:00,2022-10-21T19:27:50.000+00:00,2022-10-21T20:17:46.000+00:00
5386,Clément GAMBIER,FINISHER,SE H,MALE,FR,2022-10-21T07:05:14.000+00:00,2022-10-21T09:06:31.000+00:00,2022-10-21T10:19:29.000+00:00,2022-10-21T12:30:03.000+00:00,2022-10-21T14:45:10.000+00:00,2022-10-21T16:37:14.000+00:00,2022-10-21T17:32:07.000+00:00,2022-10-21T18:45:53.000+00:00,2022-10-21T19:27:51.000+00:00,2022-10-21T20:18:35.000+00:00
5611,Julien DELVAL,FINISHER,SE H,MALE,FR,2022-10-21T07:05:13.000+00:00,2022-10-21T09:11:04.000+00:00,2022-10-21T10:27:29.000+00:00,2022-10-21T12:28:23.000+00:00,2022-10-21T14:59:33.000+00:00,2022-10-21T16:40:37.000+00:00,2022-10-21T17:41:18.000+00:00,2022-10-21T18:44:50.000+00:00,2022-10-21T19:30:38.000+00:00,2022-10-21T20:27:59.000+00:00
5467,Julien GIRARD,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:21.000+00:00,2022-10-21T09:13:40.000+00:00,2022-10-21T10:29:11.000+00:00,2022-10-21T12:23:43.000+00:00,2022-10-21T14:37:29.000+00:00,2022-10-21T16:33:20.000+00:00,2022-10-21T17:37:54.000+00:00,2022-10-21T18:43:41.000+00:00,2022-10-21T19:26:09.000+00:00,2022-10-21T20:17:16.000+00:00
5338,David VENUAT,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:37.000+00:00,2022-10-21T09:25:55.000+00:00,2022-10-21T10:47:09.000+00:00,2022-10-21T12:49:07.000+00:00,2022-10-21T15:08:23.000+00:00,2022-10-21T17:00:19.000+00:00,2022-10-21T17:51:59.000+00:00,2022-10-21T18:55:27.000+00:00,2022-10-21T19:35:16.000+00:00,2022-10-21T20:22:13.000+00:00
5345,Alban LE DINAHEC,FINISHER,M1-M2H,MALE,FR,2022-10-21T07:05:13.000+00:00,2022-10-21T08:56:28.000+00:00,2022-10-21T10:07:29.000+00:00,2022-10-21T12:30:18.000+00:00,2022-10-21T14:59:15.000+00:00,2022-10-21T16:40:41.000+00:00,2022-10-21T17:41:15.000+00:00,2022-10-21T18:37:44.000+00:00,2022-10-21T19:30:40.000+00:00,2022-10-21T20:17:28.000+00:00
5613,Laurent PANAROTTO,FINISHER,SE H,MALE,FR,2022-10-21T07:05:24.000+00:00,2022-10-21T09:14:45.000+00:00,2022-10-21T10:36:50.000+00:00,2022-10-21T12:44:12.000+00:00,2022-10-21T15:00:10.000+00:00,2022-10-21T16:48:18.000+00:00,2022-10-21T17:45:59.000+00:00,2022-10-21T19:01:17.000+00:00,2022-10-21T19:39:45.000+00:00,2022-10-21T20:19:59.000+00:00
5586,Lauren PANHELLEUX,FINISHER,SE H,MALE,FR,2022-10-21T07:05:24.000+00:00,2022-10-21T09:06:27.000+00:00,2022-10-21T10:16:18.000+00:00,2022-10-21T12:20:33.000+00:00,2022-10-21T15:01:20.000+00:00,2022-10-21T16:41:16.000+00:00,2022-10-21T17:44:46.000+00:00,2022-10-21T18:24:54.000+00:00,2022-10-21T19:33:21.000+00:00,2022-10-21T20:21:53.000+00:00
5251,Pierre-Yves MORICE,FINISHER,SE H,MALE,FR,2022-10-21T07:05:23.000+00:00,2022-10-21T09:06:24.000+00:00,2022-10-21T10:16:19.000+00:00,2022-10-21T12:20:35.000+00:00,2022-10-21T14:41:04.000+00:00,2022-10-21T16:46:20.000+00:00,2022-10-21T17:44:46.000+00:00,2022-10-21T18:55:15.000+00:00,2022-10-21T19:33:22.000+00:00,2022-10-21T20:22:19.000+00:00
5372,Sebastien PERRAUD,FINISHER,SE H,MALE,FR,2022-10-21T07:05:14.000+00:00,2022-10-21T09:02:52.000+00:00,2022-10-21T10:17:05.000+00:00,2022-10-21T12:16:44.000+00:00,2022-10-21T14:49:13.000+00:00,2022-10-21T16:58:24.000+00:00,2022-10-21T17:58:37.000+00:00,2022-10-21T19:09:18.000+00:00,2022-10-21T19:44:02.000+00:00,2022-10-21T20:24:36.000+00:00
